Sentence,Noun1,Is/Have,Noun2
project management risk process be present as discrete process with deﬁned interface while in practice they overlap and interact in way that can not be detail in this pmbok guidenot for distribution sale or reproduction,that,is a,detail
organization should choose to take project risk in a controlled and intentional manner in order to create value while balance risk and rewardproject risk management aim to identify and manage risk that be not address by other project management process,that,is a,address
project risk management process address both level of risk in project and these be deﬁned as follow conceptualise uuindividual project risk be an uncertain event or condition that if it occur have a positive or negative effect on one or more project objectivesuuoverall project risk be effect of uncertainty on project as a whole arising from all source of uncertainty include individual risk represent exposure of stakeholder to implication of variation in project outcome both positive and negativeindividual project risk can have a positive or negative effect on project objective if they occur,follow project risk,is a,event
project risk management process address both level of risk in project and these be deﬁned as follow conceptualise uuindividual project risk be an uncertain event or condition that if it occur have a positive or negative effect on one or more project objectivesuuoverall project risk be effect of uncertainty on project as a whole arising from all source of uncertainty include individual risk represent exposure of stakeholder to implication of variation in project outcome both positive and negativeindividual project risk can have a positive or negative effect on project objective if they occur,process address,is a,effect
project risk management process address both level of risk in project and these be deﬁned as follow conceptualise uuindividual project risk be an uncertain event or condition that if it occur have a positive or negative effect on one or more project objectivesuuoverall project risk be effect of uncertainty on project as a whole arising from all source of uncertainty include individual risk represent exposure of stakeholder to implication of variation in project outcome both positive and negativeindividual project risk can have a positive or negative effect on project objective if they occur,project risk,has a,effect
opportunity that be capture can lead to beneﬁts such as reduced time and cost improved performance or reputationoverall project risk can be positive or negative,that,is a,capture
risk be address during project planning by shape project strategy,risk,is a,address
most project focus on risk that be uncertain future event that may or may not occur,that,is a,event
ambiguity be address through incremental development prototyping or simulationuuproject resilience,ambiguity,is a,address resilience
these be risk that can be recognize after they have occur,these,is a,risk
this require each project to have conceptualise u nright level of budget and schedule contingency for emergent risk in addition to a speciﬁc risk budget for know risksu nflexible project process that can cope with emergent risk while maintain overall direction toward project goal include strong change managementu nempowered project team that have clear objective and that be trust to get job do within agree upon limitsu nfrequent review of early warning sign to identify emergent risk as possible andu nclear input from stakeholder to clarify area where project scope or strategy can be adjust in response to emergent risksuuintegrated risk management,that,has a,objective
this require each project to have conceptualise u nright level of budget and schedule contingency for emergent risk in addition to a speciﬁc risk budget for know risksu nflexible project process that can cope with emergent risk while maintain overall direction toward project goal include strong change managementu nempowered project team that have clear objective and that be trust to get job do within agree upon limitsu nfrequent review of early warning sign to identify emergent risk as possible andu nclear input from stakeholder to clarify area where project scope or strategy can be adjust in response to emergent risksuuintegrated risk management,that,is a,trust
be this a waterfall project where risk process can be follow and or do project follow an agile approach where risk be address at start of each iteration as during its executiontailoring of project risk management process to meet these consideration be part of plan risk management process and outcome of tailor decision be record in risk management planconsi dera tions for a gilead apti ve e nvironmentshigh variability environment by deﬁnition incur more uncertainty and risk,risk,is a,address
data analy sisdata analysis technique that can be use for this process include but be not limit to a stakeholder analysis to determine risk appetite of project stakeholder,that,is a,use
pl an risk managem ent conceptualise output risk managem ent planthe risk management plan be a component of project management plan that describe how risk management activity will be structure and perform,management activity,is a,structure
deﬁnes speciﬁc approach tool and data source that will be use to perform risk management on projectuuroles and responsibility,that,is a,use
a common way to structure risk category be with a risk breakdown structure which be a hierarchical representation of potential source of risk,which,is a,representation
organization may have a generic rb to be use for all project or there may be several rb framework for different type of project or project may develop a tailored rb,organization,has a,rb
risk appetite of key stakeholder on project be record in risk management plan as they inform detail of plan risk management process,risk appetite,is a,record
deﬁnitions of risk probability and impact level be speciﬁc to project context and reﬂect risk appetite and threshold of organization and key stakeholder,deﬁnitions,is a,speciﬁc
these scale can be use to evaluate both threat and opportunity by interpret impact deﬁnitions as negative for threat and positive for opportunity table,scale,is a,use
descriptive term or numeric value can be use for probability and impact,term,is a,use
where numeric value be use these can be multiply to give a probability impact score for each risk which allow relative priority of individual risk to be evaluate within each priority level,value,is a,use
where numeric value be use these can be multiply to give a probability impact score for each risk which allow relative priority of individual risk to be evaluate within each priority level,these,is a,multiply
track document how risk activity will be record and how risk management process will be lowvery highhighmediumlowvery lowvery highhighmediumlowvery lowlowmoderatehighvery highthreatsvery lowlowmoderatehighvery highopportunitiesnegative impact positive impac t,management process,is a,impact impac t
